NAME,median_household_income,rent_burden_total_households,B25070_007E,B25070_008E,B25070_009E,B25070_010E,state,county,tract,GEOID,housing_cost_burden_ratio
Census Tract 2206.01; St. Louis County; Missouri,91039,264,42,0,3,78,29,189,220601,29189220601,0.4659090909090909
Census Tract 2206.02; St. Louis County; Missouri,69975,744,38,0,54,64,29,189,220602,29189220602,0.20967741935483872
Census Tract 2207.01; St. Louis County; Missouri,74257,425,60,13,43,65,29,189,220701,29189220701,0.4258823529411765
Census Tract 2207.02; St. Louis County; Missouri,87969,293,15,0,72,13,29,189,220702,29189220702,0.3412969283276451
Census Tract 2207.03; St. Louis County; Missouri,90139,57,0,0,0,19,29,189,220703,29189220703,0.3333333333333333
Census Tract 2208.01; St. Louis County; Missouri,90000,933,18,114,14,148,29,189,220801,29189220801,0.31511254019292606
Census Tract 2208.02; St. Louis County; Missouri,78147,589,29,0,95,111,29,189,220802,29189220802,0.398981324278438
Census Tract 2208.03; St. Louis County; Missouri,127554,92,23,0,0,0,29,189,220803,29189220803,0.25
Census Tract 2210; St. Louis County; Missouri,68155,524,51,88,122,0,29,189,221000,29189221000,0.49809160305343514
Census Tract 2211; St. Louis County; Missouri,139167,29,1,0,4,0,29,189,221100,29189221100,0.1724137931034483
Census Tract 2212.01; St. Louis County; Missouri,139583,354,6,27,38,214,29,189,221201,29189221201,0.8050847457627118
Census Tract 2212.02; St. Louis County; Missouri,96250,646,82,54,46,296,29,189,221202,29189221202,0.739938080495356
Census Tract 2213.32; St. Louis County; Missouri,123565,193,10,0,82,19,29,189,221332,29189221332,0.5751295336787565
Census Tract 2213.35; St. Louis County; Missouri,86103,768,16,26,229,96,29,189,221335,29189221335,0.4778645833333333
Census Tract 2213.36; St. Louis County; Missouri,68008,161,12,0,0,75,29,189,221336,29189221336,0.5403726708074534
Census Tract 2213.37; St. Louis County; Missouri,105057,450,91,7,9,39,29,189,221337,29189221337,0.3244444444444444
Census Tract 2213.38; St. Louis County; Missouri,57827,907,210,46,0,44,29,189,221338,29189221338,0.33076074972436603
Census Tract 2213.39; St. Louis County; Missouri,91452,175,0,14,0,64,29,189,221339,29189221339,0.44571428571428573
Census Tract 2214.21; St. Louis County; Missouri,140956,101,0,0,0,17,29,189,221421,29189221421,0.16831683168316833
Census Tract 2214.23; St. Louis County; Missouri,101000,280,17,0,0,20,29,189,221423,29189221423,0.13214285714285715
Census Tract 2214.24; St. Louis County; Missouri,108444,321,31,14,8,15,29,189,221424,29189221424,0.2118380062305296
Census Tract 2214.25; St. Louis County; Missouri,118125,487,31,0,14,69,29,189,221425,29189221425,0.23408624229979466
Census Tract 2214.26; St. Louis County; Missouri,97500,131,28,6,20,40,29,189,221426,29189221426,0.7175572519083969
Census Tract 2215.02; St. Louis County; Missouri,113299,420,19,5,88,35,29,189,221502,29189221502,0.35
